date,number,place,yellowdust(O/X),avgdust,avgwindsp(m/s),maxwinsp(m/s),maxwinspdir(deg),maxdir(deg),minview(10m),atmosdiff:+03h,:+06h,:+09h,:+12h,:+15h,:+18h,:+21h,:+24h
2019-04-06,152,Ulsan,X,47,2.2,5.5,140,140,1093,normal,high,high,high,high,high,high,high
2019-04-06,155,Changwon,X,,2.2,4.9,110,110,1756,normal,normal,high,high,high,high,high,normal
2019-04-06,156,Kwangju,X,65,1.8,6.2,230,230,510,normal,high,high,high,high,high,high,high
2019-04-06,159,Busan,X,,2.7,6,200,200,1010,normal,high,high,high,high,high,high,high
2019-04-06,165,Mokpo,X,,2.3,4.9,250,180,187,normal,normal,high,high,high,high,normal,normal
2019-04-06,168,Yeosu,X,,2.9,6.3,230,230,323,normal,normal,high,high,high,high,normal,normal
2019-04-06,169,Heuksando,O,78,6.4,12.6,180,180,21,normal,normal,high,high,high,high,high,high
2019-04-06,177,Hongseong,X,,1,3.1,50,180,1946,normal,high,high,high,normal,high,normal,normal
2019-04-06,184,Jeju,X,,2.1,5.4,290,270,212,normal,high,high,normal,normal,high,high,high
2019-04-06,189,Seoguipo,X,,1.6,3.6,230,230,282,high,high,high,normal,normal,high,high,high
2019-05-01,93,BukChucheon,X,52,1.5,4.9,270,270,1100,normal,high,veryhigh,high,veryhigh,normal,normal,normal
2019-05-01,102,BackRyeongdo,O,91,4.5,9.6,340,320,22,high,high,high,high,high,high,high,high
2019-05-01,104,Bukkangreung,X,,1.1,3.4,110,140,416,normal,normal,high,high,high,high,high,high
2019-05-01,108,Seoul,X,42,2.3,4.8,230,270,699,normal,high,high,veryhigh,high,high,normal,normal
2019-05-01,112,Incheon,O,,3,5.5,340,230,536,high,high,high,high,high,high,normal,high
2019-05-01,115,Ulreungdo,X,-,1.8,5.1,20,180,519,high,high,high,normal,low,normal,high,normal
2019-05-01,119,Suwon,X,41,2,5.3,270,250,786,normal,high,high,veryhigh,veryhigh,high,normal,high
2019-05-01,131,Chungju,X,,1.6,3.9,290,270,655,normal,high,high,high,high,high,normal,normal
2019-05-01,133,Daejeon,X,,1.8,4.6,320,320,355,normal,high,high,veryhigh,high,normal,normal,normal
2019-05-01,136,Ahndong,X,41,1.8,5.5,320,290,10,high,high,high,high,high,normal,normal,normal
2019-05-01,138,Pohang,X,,2.3,4.6,290,230,260,high,high,high,high,high,high,high,low
2019-05-01,143,Daegu,X,50,2.2,6,290,290,559,high,high,high,veryhigh,high,normal,normal,normal
2019-05-01,146,Jeonju,X,42,1.6,4.5,270,270,356,normal,high,high,high,high,normal,high,high
2019-05-01,152,Ulsan,X,41,1.4,3.4,360,140,129,normal,high,high,high,high,high,high,high
2019-05-01,155,Changwon,X,,1,3.7,50,50,296,normal,high,high,normal,high,high,normal,low
2019-05-01,156,Kwangju,X,31,1.2,3.2,290,250,281,normal,high,high,high,high,high,high,high
2019-05-01,159,Busan,X,,2.9,7.6,270,290,360,high,high,high,high,high,normal,high,high
2019-05-01,165,Mokpo,X,,3.7,7,340,360,174,high,high,high,high,high,high,high,high
2019-05-01,168,Yeosu,X,,3.8,9.4,230,230,415,normal,low,normal,normal,high,high,high,high
2019-05-01,169,Heuksando,O,43,4.1,6.8,320,320,14,high,normal,high,high,high,high,high,high
2019-05-01,177,Hongseong,O,,1.8,4.5,270,160,428,normal,high,high,high,high,high,high,high
2019-05-01,184,Jeju,X,,3.5,6.2,290,270,184,high,high,high,high,high,high,high,high
2019-05-01,189,Seoguipo,X,,1.4,3.6,200,20,529,normal,high,high,high,high,high,high,high
2019-05-02,93,BukChucheon,X,43,1.9,5.4,250,270,1600,normal,high,high,high,high,normal,high,high
2019-05-02,102,BackRyeongdo,X,49,3.3,6.3,230,320,1177,low,normal,normal,normal,normal,high,low,high
2019-05-02,104,Bukkangreung,X,,1.5,4.9,290,250,704,normal,normal,high,veryhigh,high,high,high,high
2019-05-02,108,Seoul,X,41,2.3,5.1,290,290,1525,high,high,high,high,low,low,low,normal
2019-05-02,112,Incheon,X,,3.4,6.3,360,250,1464,high,high,high,normal,normal,high,normal,normal
2019-05-02,115,Ulreungdo,X,41,5.2,10.7,230,230,579,normal,high,high,high,high,high,high,normal
2019-05-02,119,Suwon,X,45,1.8,5.6,250,270,686,high,high,high,normal,normal,normal,low,normal
2019-05-02,131,Chungju,X,,1.6,3.8,290,230,259,normal,veryhigh,veryhigh,high,high,normal,normal,normal
2019-05-02,133,Daejeon,X,,1.8,3.9,290,200,267,normal,high,high,high,high,normal,normal,normal
2019-05-02,136,Ahndong,X,57,1.9,5.1,270,270,615,high,high,high,veryhigh,high,normal,normal,normal
2019-05-02,138,Pohang,X,,2.1,5.1,230,250,494,normal,normal,high,high,normal,normal,normal,high
2019-05-02,143,Daegu,X,60,2.4,5.7,320,290,835,normal,high,high,veryhigh,high,normal,normal,normal
2019-05-02,146,Jeonju,X,50,1.8,4.3,270,140,257,normal,high,high,high,normal,normal,normal,normal
2019-05-02,152,Ulsan,X,58,1.8,3.9,110,340,802,normal,normal,high,high,high,normal,normal,normal
2019-05-02,155,Changwon,X,,1.6,4.8,140,360,1148,normal,normal,high,high,high,normal,normal,normal
2019-05-02,156,Kwangju,X,62,1.4,2.9,270,230,431,high,high,high,high,high,high,high,normal
2019-05-02,159,Busan,X,,3.8,7,340,200,787,normal,normal,high,normal,normal,low,low,normal
2019-05-02,165,Mokpo,X,,3,6.1,340,340,738,high,high,high,high,normal,high,high,normal
2019-05-02,168,Yeosu,X,,4.9,9.1,200,250,1154,high,low,low,normal,high,high,high,normal
