date,number,place,yellowdust(O/X),avgdust,avgwindsp(m/s),maxwinsp(m/s),maxwinspdir(deg),maxdir(deg),minview(10m),atmosdiff:+03h,:+06h,:+09h,:+12h,:+15h,:+18h,:+21h,:+24h
2020-04-04,93,BukChucheon,X,56,2.3,6.5,340,320,600,normal,high,high,high,high,high,normal,normal
2020-04-04,102,BackRyeongdo,O,62,9.4,13.7,340,340,652,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high
2020-04-04,104,Bukkangreung,X,,2.8,8.4,250,200,993,high,high,high,high,veryhigh,high,normal,high
2020-04-04,108,Seoul,X,69,3.4,6.3,290,290,241,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-04-04,112,Incheon,O,,5.8,9.9,340,360,231,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-04-04,115,Ulreungdo,X,23,6.1,12.6,50,70,1022,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2020-04-04,119,Suwon,X,53,3.5,7.7,270,320,462,high,veryhigh,veryhigh,high,high,high,high,high
2020-04-04,131,Chungju,O,,2.2,5.5,290,270,583,high,high,veryhigh,high,high,high,high,high
2020-04-04,133,Daejeon,O,,2.9,6.7,270,140,670,high,veryhigh,veryhigh,high,high,high,high,high
2020-04-04,136,Ahndong,X,54,2.5,5.8,290,290,861,high,high,high,high,high,high,high,high
2020-04-04,138,Pohang,X,,4.2,7.6,50,50,1457,high,veryhigh,high,high,high,high,high,high
2020-04-04,143,Daegu,X,41,2.9,8.2,110,110,1318,high,veryhigh,high,high,high,high,high,high
2020-04-04,146,Jeonju,X,45,2.5,5.8,270,270,1000,high,veryhigh,veryhigh,high,high,high,high,high
2020-04-04,152,Ulsan,X,27,2.7,6.4,70,360,1800,high,high,high,high,normal,normal,normal,high
2020-04-04,155,Changwon,X,,1.8,6.1,180,180,1583,high,high,veryhigh,high,high,high,high,high
2020-04-04,156,Kwangju,O,51,1.8,4.1,20,250,1020,high,high,high,high,high,high,high,high
2020-04-04,159,Busan,X,,4,9.1,230,50,1367,high,high,high,high,high,high,high,high
2020-04-04,165,Mokpo,X,,5.7,12,340,360,703,high,high,high,high,veryhigh,veryhigh,high,high
2020-04-04,168,Yeosu,X,,7.1,12.4,320,320,1071,high,high,high,high,high,high,high,high
2020-04-04,169,Heuksando,O,41,9,15.9,360,360,797,high,high,high,high,high,veryhigh,veryhigh,high
2020-04-04,177,Hongseong,O,,3.4,5.7,320,320,363,high,veryhigh,veryhigh,high,high,high,high,high
2020-04-04,184,Jeju,X,,3.6,7,270,270,909,high,high,high,high,high,high,veryhigh,high
2020-04-04,189,Seoguipo,X,,1.5,2.9,290,360,1236,high,high,high,high,high,high,high,high
2020-04-22,93,BukChucheon,O,85,4,7.1,230,250,1400,veryhigh,veryhigh,high,veryhigh,veryhigh,veryhigh,high,high
2020-04-22,102,BackRyeongdo,O,112,7.5,10.3,320,320,1578,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high
2020-04-22,104,Bukkangreung,O,,3.8,7.9,270,270,900,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-04-22,108,Seoul,O,64,4,6.4,290,290,1013,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-04-22,112,Incheon,O,,6.3,9.2,340,320,1064,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-04-22,115,Ulreungdo,X,56,3.6,7.6,250,250,1938,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high
2020-04-22,119,Suwon,O,-,5.1,8,290,270,1592,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,131,Chungju,O,,3,5.6,290,290,1738,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,133,Daejeon,X,,3.3,6.1,250,250,2097,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,136,Ahndong,O,61,4.6,8.5,290,290,1831,veryhigh,high,high,veryhigh,veryhigh,veryhigh,veryhigh,high
2020-04-22,138,Pohang,X,,4.3,7.5,250,270,1985,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high
2020-04-22,143,Daegu,X,52,5.3,9.1,290,290,1919,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh,high
2020-04-22,146,Jeonju,X,39,3.9,6.9,270,290,2000,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,152,Ulsan,X,16,3.2,5.2,290,320,2000,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,155,Changwon,X,,2.2,5.9,290,290,2000,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-04-22,156,Kwangju,X,55,2.4,5.5,270,270,1952,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,159,Busan,X,,5.3,11.1,270,270,1471,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2020-04-22,165,Mokpo,X,,7.1,9.9,340,340,1987,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2020-04-22,168,Yeosu,X,,7.4,14.8,270,270,2000,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high
2020-04-22,169,Heuksando,X,42,6.3,10.4,340,320,3157,veryhigh,high,high,veryhigh,high,veryhigh,veryhigh,veryhigh
2020-04-22,177,Hongseong,X,,3.7,6.9,270,270,2847,veryhigh,veryhigh,veryhigh,high,high,high,high,high
2020-04-22,184,Jeju,X,,5.7,9.3,320,290,2000,high,high,high,high,high,high,high,high
2020-04-22,189,Seoguipo,X,,2.6,5.2,270,270,2000,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2020-05-11,93,BukChucheon,O,79,3,7.2,250,230,500,high,veryhigh,high,veryhigh,high,high,high,high
2020-05-11,102,BackRyeongdo,O,83,4.3,9.3,270,290,1211,high,high,high,high,normal,high,high,high
2020-05-11,104,Bukkangreung,X,,4.1,8,270,250,1578,high,high,high,high,high,high,high,high
2020-05-11,108,Seoul,O,98,3,5.6,290,250,276,high,high,high,high,normal,high,high,high
2020-05-11,112,Incheon,O,,2.9,5,200,230,117,high,high,high,high,normal,normal,high,high
2020-05-11,115,Ulreungdo,X,50,5.6,9.7,270,230,2000,high,high,high,normal,high,normal,high,high
2020-05-11,119,Suwon,O,-,2.1,5.7,270,270,419,high,high,high,high,normal,high,high,high
2020-05-11,131,Chungju,X,,1.9,4.1,270,270,245,high,high,veryhigh,high,high,veryhigh,high,high
2020-05-11,133,Daejeon,X,,2.2,4.6,110,140,302,high,high,veryhigh,high,high,high,high,high
2020-05-11,136,Ahndong,X,53,2.4,5.9,290,290,404,high,high,veryhigh,veryhigh,high,high,high,high
2020-05-11,138,Pohang,X,,3.4,6.6,250,250,1626,high,high,veryhigh,high,high,high,high,high
2020-05-11,143,Daegu,X,35,2.5,6.2,290,290,656,high,veryhigh,veryhigh,high,high,high,high,high
2020-05-11,146,Jeonju,X,48,1.4,3.4,250,270,309,high,high,high,normal,high,high,veryhigh,high
2020-05-11,152,Ulsan,X,32,2.4,5.8,320,320,1662,high,high,high,high,high,high,high,high
2020-05-11,155,Changwon,X,,1.4,3.7,230,200,1515,high,high,high,high,normal,high,high,high
2020-05-11,156,Kwangju,X,49,1.4,3.9,230,230,248,high,high,high,high,high,high,high,high
2020-05-11,159,Busan,X,,3.8,7.1,290,200,853,high,high,high,high,normal,high,high,high
2020-05-11,165,Mokpo,X,,2.4,5,250,250,205,high,high,high,high,high,high,high,high
2020-05-11,168,Yeosu,X,,4.4,7.8,320,230,1017,normal,high,normal,normal,normal,high,high,high
2020-05-11,169,Heuksando,X,33,3,7.4,180,180,10,normal,normal,normal,normal,normal,high,high,high
2020-05-11,177,Hongseong,X,,2.2,5.6,250,230,232,high,high,high,normal,high,veryhigh,high,high
2020-05-11,184,Jeju,X,,2.7,4.7,270,270,323,high,high,high,high,high,high,high,high
2020-05-11,189,Seoguipo,X,,1.3,2.9,230,250,223,normal,normal,normal,high,high,high,high,high
2020-06-04,93,BukChucheon,X,55,2.5,5.9,200,200,800,high,high,high,high,high,high,high,normal
2020-06-04,102,BackRyeongdo,X,22,2.7,5.7,160,320,27,high,high,high,high,normal,normal,normal,normal
2020-06-04,104,Bukkangreung,X,,2.8,6,250,230,1604,high,high,high,high,high,high,high,high
2020-06-04,108,Seoul,X,71,2.7,4.7,270,250,175,high,high,high,high,high,normal,high,high
2020-06-04,112,Incheon,X,,2.5,4.1,290,250,9,high,high,high,high,high,high,high,high
2020-06-04,115,Ulreungdo,X,54,3.9,8.1,250,200,1508,high,high,-,-,high,normal,normal,normal
2020-06-04,119,Suwon,X,49,2.2,4.4,250,250,542,high,high,high,high,high,high,high,high
2020-06-04,131,Chungju,O,,2.1,4,270,250,604,high,high,high,high,high,high,high,high
2020-06-04,133,Daejeon,X,,2.2,5.1,180,180,660,high,high,high,high,high,high,high,high
2020-06-04,136,Ahndong,O,85,1.9,4.5,290,290,655,high,high,veryhigh,high,high,high,high,high
2020-06-04,138,Pohang,X,,2.8,4.8,250,200,1675,high,high,high,high,high,high,high,high
2020-06-04,143,Daegu,X,42,2.1,4.3,270,270,1017,high,normal,high,high,high,high,high,high
2020-06-04,146,Jeonju,X,36,1.6,3.9,290,230,724,normal,high,high,high,high,high,high,high
2020-06-04,152,Ulsan,X,37,1.5,3.7,270,140,1212,high,normal,high,high,normal,high,high,high
2020-06-04,155,Changwon,X,,1.5,4,110,110,444,high,normal,high,high,normal,high,high,high
2020-06-04,156,Kwangju,X,37,2.1,4,230,200,568,normal,normal,high,high,normal,high,high,high
2020-06-04,159,Busan,X,,4.3,6.9,230,180,473,high,high,high,high,normal,high,high,high
2020-06-04,165,Mokpo,X,,2.4,4.4,140,250,525,high,high,high,high,high,high,normal,normal
2020-06-04,168,Yeosu,X,,4.4,6.2,200,200,12,normal,normal,normal,normal,normal,normal,high,normal
2020-06-04,169,Heuksando,X,-,4.5,7.7,180,180,6,normal,normal,normal,normal,normal,normal,low,low
2020-06-04,177,Hongseong,X,,2.6,4.6,250,230,361,high,high,high,high,high,normal,high,high
2020-06-04,184,Jeju,X,,1.4,3.8,20,20,150,normal,normal,normal,normal,normal,normal,normal,normal
2020-06-04,189,Seoguipo,X,,0.9,2.2,200,230,1915,normal,normal,low,high,high,high,high,normal
